Info 0    [12:22:28.187] Starting TS Server
Info 1    [12:22:28.195] Version: 4.4.4
Info 2    [12:22:28.195] Arguments: C:\Program Files\nodejs\node.exe f:\.emacs.d\.cache\lsp\npm\typescript\node_modules\typescript\bin\tsserver --logFile f:\dev\matrix-js-client\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\acer\AppData\Local\Temp\35683b5ed121d9739466f3dd0e87cfcf\tscancellation*
Info 3    [12:22:28.196] Platform: win32 NodeVersion: 14 CaseSensitive: false
Info 4    [12:22:28.196] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [12:22:28.273] Search path: f:/dev/matrix-js-client/src/component/jsxComponents
Info 6    [12:22:28.274] For info: f:/dev/matrix-js-client/src/component/jsxComponents/CreateNewClient.js :: No config files found.
Info 7    [12:22:28.280] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [12:22:38.618] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 10338.068899999984ms
Info 9    [12:22:38.618] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [12:22:38.618] 	Files (899)

Info 11   [12:22:38.618] -----------------------------------------------
Info 12   [12:22:38.960] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [12:22:41.453] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2493.2958000000217ms
Info 14   [12:22:41.453] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [12:22:41.453] 	Files (758)

Info 16   [12:22:41.453] -----------------------------------------------
Info 17   [12:22:41.743] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [12:22:42.345] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 601.9400000000023ms
Info 19   [12:22:42.345] Project '/dev/null/inferredProject1*' (Inferred)
Info 20   [12:22:42.345] 	Files (904)

Info 21   [12:22:42.345] -----------------------------------------------
Info 22   [12:22:42.345] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 23   [12:22:42.345] 	Files (758)

Info 24   [12:22:42.345] -----------------------------------------------
Info 25   [12:22:44.518] Before ensureProjectForOpenFiles:
Info 26   [12:22:44.518] After ensureProjectForOpenFiles:
Info 27   [12:22:44.519] got projects updated in background, updating diagnostics for f:/dev/matrix-js-client/src/component/jsxComponents/CreateNewClient.js
Info 28   [12:27:27.821] Search path: f:/dev/matrix-js-client/src/component/jsxComponents
Info 29   [12:27:27.822] For info: f:/dev/matrix-js-client/src/component/jsxComponents/form.jsx :: No config files found.
Info 30   [12:27:27.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [12:27:27.933] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 110.9426000000094ms
Info 32   [12:27:27.933] Different program with same set of files
Info 33   [12:28:09.601] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [12:28:09.732] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 130.24650000000838ms
Info 35   [12:28:09.732] Different program with same set of files
Info 36   [12:28:09.734] getCompletionData: Get current token: 0.02000000001862645
Info 37   [12:28:09.734] getCompletionData: Is inside comment: 0.008399999933317304
Info 38   [12:28:09.734] getCompletionData: Get previous token: 0.12440000008791685
Info 39   [12:28:09.735] getCompletionsAtPosition: isCompletionListBlocker: 0.23190000001341105
Info 40   [12:28:09.735] Returning an empty list because completion was requested in an invalid position.
Info 41   [12:28:09.737] getCompletionData: Get current token: 0.02850000001490116
Info 42   [12:28:09.737] getCompletionData: Is inside comment: 0.010899999993853271
Info 43   [12:28:09.737] getCompletionData: Get previous token: 0.12929999991320074
Info 44   [12:28:09.737] getCompletionsAtPosition: isCompletionListBlocker: 0.006700000027194619
Info 45   [12:28:09.738] Returning an empty list because completion was requested in an invalid position.
Info 46   [12:28:09.740] getCompletionData: Get current token: 0.03339999995660037
Info 47   [12:28:09.740] getCompletionData: Is inside comment: 0.011200000066310167
Info 48   [12:28:09.740] getCompletionData: Get previous token: 0.13470000005327165
Info 49   [12:28:09.740] getCompletionsAtPosition: isCompletionListBlocker: 0.006700000027194619
Info 50   [12:28:09.740] Returning an empty list because completion was requested in an invalid position.
Info 51   [12:28:09.742] getCompletionData: Get current token: 0.009799999999813735
Info 52   [12:28:09.742] getCompletionData: Is inside comment: 0.004799999995157123
Info 53   [12:28:09.742] getCompletionData: Get previous token: 0.03899999998975545
Info 54   [12:28:09.742] getCompletionsAtPosition: isCompletionListBlocker: 0.0034000000450760126
Info 55   [12:28:09.742] Returning an empty list because completion was requested in an invalid position.
Info 56   [12:28:11.405] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [12:28:11.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 58.61529999994673ms
Info 58   [12:28:11.464] Different program with same set of files
Info 59   [12:28:11.464] getCompletionData: Get current token: 0.010599999921396375
Info 60   [12:28:11.464] getCompletionData: Is inside comment: 0.006099999998696148
Info 61   [12:28:11.464] getCompletionData: Get previous token: 0.055300000007264316
Info 62   [12:28:11.464] getCompletionsAtPosition: isCompletionListBlocker: 0.004099999903701246
Info 63   [12:28:11.464] Returning an empty list because completion was requested in an invalid position.
Info 64   [12:28:11.465] getCompletionData: Get current token: 0.006199999945238233
Info 65   [12:28:11.465] getCompletionData: Is inside comment: 0.002900000079534948
